second	Volt1	Volt2	clean	background	clean-back	dR/dN
-2.17E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.17E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.16E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.16E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.15E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.15E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.14E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.14E-02	1.94E+00	-2.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.13E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.13E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.12E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.12E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.11E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.11E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.10E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.10E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.09E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.09E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.08E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.08E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.07E-02	1.94E+00	-2.63E-01	#N/A	-2.31E+00	#N/A	#N/A
-2.07E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.06E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.06E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.05E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.05E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.04E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.04E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.03E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.03E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.02E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.02E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.01E-02	1.94E+00	-1.07E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.01E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.00E-02	1.94E+00	-2.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-2.00E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.99E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.99E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.98E-02	1.94E+00	-2.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.98E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-1.97E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.97E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-1.96E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.96E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-1.95E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.95E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.94E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.94E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.93E-02	1.94E+00	-1.87E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.93E-02	1.94E+00	-1.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.92E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.92E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.91E-02	1.94E+00	-1.87E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.91E-02	1.94E+00	-8.66E-01	#N/A	-2.31E+00	#N/A	#N/A
-1.90E-02	1.94E+00	-2.27E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.90E-02	1.94E+00	-6.65E-01	#N/A	-2.31E+00	#N/A	#N/A
-1.89E-02	1.94E+00	-1.87E+00	#N/A	-2.31E+00	#N/A	#N/A
-1.89E-02	1.94E+00	-1.47E+00	#N/A	-2.31E+00	#N/A	#N/A
